cMVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TagCount,up_scale1,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.742" 
1,TagCount,down_scale1,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.766" 
1,TagCount,up_ps,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.754" 
1,TagCount,down_ps,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.735" 
1,TagCount,up,0, 0.000,2.400,200.000,300.000,0.000,1.000,"0.804" 
1,TagCount,down,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.699" 
2,TagCount,central,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.815" 
2,TagCount,up_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.852" 
2,TagCount,down_statistic,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.776" 
2,TagCount,up_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.813" 
2,TagCount,down_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.816" 
2,TagCount,up_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.842" 
2,TagCount,down_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.790" 
2,TagCount,up_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.818" 
2,TagCount,down_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.815" 
2,TagCount,up_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.827" 
2,TagCount,down_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.812" 
2,TagCount,up_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.813" 
2,TagCount,down_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.816" 
2,TagCount,up_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.815" 
2,TagCount,down_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.819" 
2,TagCount,up,0, 0.000,2.400,30.000,50.000,0.000,1.000,"0.862" 
2,TagCount,down,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.767" 
2,TagCount,central,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.818" 
2,TagCount,up_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.837" 
2,TagCount,down_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.798" 
2,TagCount,up_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.817" 
2,TagCount,down_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.819" 
2,TagCount,up_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.828" 
2,TagCount,down_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.808" 
2,TagCount,up_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.820" 
2,TagCount,down_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.817" 
2,TagCount,up_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.824" 
2,TagCount,down_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.818" 
2,TagCount,up_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.817" 
2,TagCount,down_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.819" 
2,TagCount,up_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.805" 
2,TagCount,down_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.823" 
2,TagCount,up,0, 0.000,2.400,50.000,70.000,0.000,1.000,"0.840" 
2,TagCount,down,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.795" 
2,TagCount,central,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.861" 
2,TagCount,up_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.876" 
2,TagCount,down_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.845" 
2,TagCount,up_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.860" 
2,TagCount,down_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.861" 
2,TagCount,up_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.868" 
2,TagCount,down_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.853" 
2,TagCount,up_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.863" 
2,TagCount,down_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.860" 
2,TagCount,up_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.863" 
2,TagCount,down_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.863" 
2,TagCount,up_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.859" 
2,TagCount,down_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.862" 
2,TagCount,up_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.860" 
2,TagCount,down_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.863" 
2,TagCount,up,0, 0.000,2.400,70.000,100.000,0.000,1.000,"0.878" 
2,TagCount,down,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.843" 
2,TagCount,central,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.847" 
2,TagCount,up_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.867" 
2,TagCount,down_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.827" 
2,TagCount,up_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.846" 
2,TagCount,down_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.848" 
2,TagCount,up_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.856" 
2,TagCount,down_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.838" 
2,TagCount,up_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.849" 
2,TagCount,down_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.847" 
2,TagCount,up_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.849" 
2,TagCount,down_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.850" 
2,TagCount,up_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.845" 
2,TagCount,down_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.850" 
2,TagCount,up_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.851" 
2,TagCount,down_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.848" 
2,TagCount,up,0, 0.000,2.400,100.000,140.000,0.000,1.000,"0.869" 
2,TagCount,down,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.825" 
