DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.2459"
1,TnPH,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.216"
1,TnPH,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1444"
1,TnPH,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1558"
1,TnPH,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1272"
1,TnPH,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1352"
1,TnPL,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96162"
1,TnPL,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.81188"
1,TnPL,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1114"
1,TnPL,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.91431"
1,TnPL,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0089"
1,TnPL,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0041"
1,TnPL,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99278"
1,TnPL,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0064"
1,TnPL,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99313"
1,TnPL,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99895"
1,TnPL,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.98262"
1,TnPL,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9923"
1,TnPL,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99402"
1,TnPL,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99264"
1,TnPL,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99265"
1,TnPL,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96457"
1,TnPL,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96457"
1,TnPL,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9927"
1,TnPL,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99217"
1,TnPL,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9951"
1,TnPL,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.98875"
1,TnPL,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.03"
1,TnPL,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.97949"
1,TnPL,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0213"
1,TnPL,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0842"
1,TnPL,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.97256"
1,TnPL,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.99864"
